year,month,unemployment,category
2014,1,7.8,retail
2014,2,7.6,retail
2014,3,6.8,retail
2014,4,5.9,retail
2014,5,6.4,retail
2014,6,5.8,retail
2014,7,6.2,retail
2014,8,5.8,retail
2014,9,6.1,retail
2014,10,5.1,retail
2014,11,4.9,retail
2014,12,5.3,retail
2015,1,6.2,retail
2015,2,5.7,retail
2015,3,6,retail
2015,4,5.6,retail
2015,5,6,retail
2015,6,5.7,retail
2015,7,5.8,retail
2015,8,5.1,retail
2015,9,5.4,retail
2015,10,5,retail
2015,11,5,retail
2015,12,4.9,retail
2016,1,6,retail
2016,2,5.3,retail
2016,3,5.1,retail
2016,4,5.3,retail
2016,5,5,retail
2016,6,4.7,retail
2016,7,5.2,retail
2016,8,4.9,retail
2016,9,5,retail
2016,10,4.4,retail
2016,11,4.4,retail
2016,12,4.6,retail
2017,1,5.5,retail
2017,2,5.4,retail
2017,3,4.8,retail
2017,4,4.2,retail
2017,5,4.7,retail
2017,6,5,retail
2017,7,4.8,retail
2017,8,4.6,retail
2017,9,4.1,retail
2017,10,4.2,retail
2017,11,4.2,retail
2017,12,4.1,retail
2018,1,5.3,retail
2018,2,5.3,retail
2018,3,4.8,retail
2018,4,4.2,retail
2018,5,4.5,retail
2018,6,4.2,retail
2018,7,4.1,retail
2018,8,4.3,retail
2018,9,4,retail
2018,10,3.9,retail
2018,11,3.9,retail
2018,12,3.7,retail
2019,1,4.8,retail
2019,2,5,retail
2019,3,4.7,retail
2019,4,4.3,retail
2019,5,4.2,retail
2019,6,3.9,retail
2019,7,3.9,retail
2019,8,4.1,retail
2019,9,3.4,retail
2019,10,3.6,retail
2019,11,3.4,retail
2019,12,3.6,retail
2020,1,4.7,retail
2020,2,4.2,retail
2020,3,5,retail
2020,4,17.1,retail
2020,5,15.1,retail
2020,6,11.2,retail
2020,7,9.7,retail
2020,8,8.3,retail
2020,9,7.8,retail
2020,10,6.5,retail
2020,11,6,retail
2020,12,5.5,retail
2021,1,6.9,retail
2021,2,6.8,retail
2021,3,6.7,retail
2021,4,6.2,retail
2021,5,6.6,retail
2021,6,6.2,retail
2021,7,6,retail
2021,8,6.1,retail
2021,9,5.7,retail
2021,10,5.2,retail
2021,11,4.2,retail
2021,12,4.2,retail
2022,1,4.8,retail
2022,2,4.9,retail
2022,3,4.6,retail
2022,4,4.2,retail
2022,5,4.2,retail
2022,6,4.1,retail
2022,7,4.1,retail
2022,8,3.7,retail
2022,9,4,retail
2022,10,3.6,retail
2022,11,3.5,retail
2022,12,3.6,retail
2023,1,5.1,retail
2023,2,5.4,retail
2023,3,4.4,retail
2023,4,3.3,retail
2023,5,4.4,retail
2023,6,4.4,retail
2023,7,3.8,retail
2023,8,3.8,retail
2023,9,4.5,retail
2023,10,4,retail
2023,11,3.6,retail
2023,12,4,retail
2024,1,4.6,retail
2024,2,4.7,retail
2024,3,4.8,retail
2024,4,3.8,retail
2024,5,3.7,retail
2024,6,5.1,retail
2024,7,4.9,retail
2014,1,6.4,nondurable
2014,2,6.9,nondurable
2014,3,6.2,nondurable
2014,4,6.1,nondurable
2014,5,5.5,nondurable
2014,6,5.1,nondurable
2014,7,5.4,nondurable
2014,8,4.8,nondurable
2014,9,4.3,nondurable
2014,10,4.1,nondurable
2014,11,4,nondurable
2014,12,4.2,nondurable
2015,1,5.8,nondurable
2015,2,6.2,nondurable
2015,3,4.7,nondurable
2015,4,4.1,nondurable
2015,5,5.4,nondurable
2015,6,4.4,nondurable
2015,7,4.8,nondurable
2015,8,3.6,nondurable
2015,9,4.4,nondurable
2015,10,3.8,nondurable
2015,11,4.1,nondurable
2015,12,4.3,nondurable
2016,1,4.2,nondurable
2016,2,4.8,nondurable
2016,3,4.6,nondurable
2016,4,5.2,nondurable
2016,5,4.8,nondurable
2016,6,3.4,nondurable
2016,7,3.6,nondurable
2016,8,4.1,nondurable
2016,9,4.3,nondurable
2016,10,4.3,nondurable
2016,11,4.7,nondurable
2016,12,4.5,nondurable
2017,1,3.6,nondurable
2017,2,3.1,nondurable
2017,3,3.4,nondurable
2017,4,3.8,nondurable
2017,5,3.1,nondurable
2017,6,3.3,nondurable
2017,7,4.1,nondurable
2017,8,4,nondurable
2017,9,3.9,nondurable
2017,10,3.2,nondurable
2017,11,2.9,nondurable
2017,12,3.8,nondurable
2018,1,3.7,nondurable
2018,2,3.7,nondurable
2018,3,3.6,nondurable
2018,4,3.5,nondurable
2018,5,3.5,nondurable
2018,6,3.7,nondurable
2018,7,4.4,nondurable
2018,8,4.3,nondurable
2018,9,4.3,nondurable
2018,10,4.3,nondurable
2018,11,3.2,nondurable
2018,12,3.5,nondurable
2019,1,3.4,nondurable
2019,2,3.3,nondurable
2019,3,3.6,nondurable
2019,4,3.6,nondurable
2019,5,2.5,nondurable
2019,6,2.8,nondurable
2019,7,3.1,nondurable
2019,8,3.9,nondurable
2019,9,4.5,nondurable
2019,10,3.5,nondurable
2019,11,2.4,nondurable
2019,12,3.1,nondurable
2020,1,3.7,nondurable
2020,2,4.3,nondurable
2020,3,5.3,nondurable
2020,4,10.2,nondurable
2020,5,9.3,nondurable
2020,6,8.9,nondurable
2020,7,9,nondurable
2020,8,7,nondurable
2020,9,7.1,nondurable
2020,10,6.3,nondurable
2020,11,5.4,nondurable
2020,12,5.5,nondurable
2021,1,5.6,nondurable
2021,2,5.4,nondurable
2021,3,6.4,nondurable
2021,4,6.3,nondurable
2021,5,4.3,nondurable
2021,6,4.8,nondurable
2021,7,4.8,nondurable
2021,8,4.2,nondurable
2021,9,3.8,nondurable
2021,10,4,nondurable
2021,11,3.3,nondurable
2021,12,2.8,nondurable
2022,1,4.4,nondurable
2022,2,3.1,nondurable
2022,3,2.5,nondurable
2022,4,3,nondurable
2022,5,2.9,nondurable
2022,6,3.2,nondurable
2022,7,3.7,nondurable
2022,8,4.1,nondurable
2022,9,3.3,nondurable
2022,10,2.7,nondurable
2022,11,2.7,nondurable
2022,12,1.8,nondurable
2023,1,3.1,nondurable
2023,2,3.6,nondurable
2023,3,3.6,nondurable
2023,4,3.4,nondurable
2023,5,3,nondurable
2023,6,2.9,nondurable
2023,7,2.9,nondurable
2023,8,3,nondurable
2023,9,3.9,nondurable
2023,10,2.8,nondurable
2023,11,3.5,nondurable
2023,12,4.6,nondurable
2024,1,4.2,nondurable
2024,2,3.4,nondurable
2024,3,2.9,nondurable
2024,4,2.4,nondurable
2024,5,3.9,nondurable
2024,6,3.6,nondurable
2024,7,4.5,nondurable
2014,1,7,aggregate
2014,2,7,aggregate
2014,3,6.8,aggregate
2014,4,5.9,aggregate
2014,5,6.1,aggregate
2014,6,6.3,aggregate
2014,7,6.5,aggregate
2014,8,6.3,aggregate
2014,9,5.7,aggregate
2014,10,5.5,aggregate
2014,11,5.5,aggregate
2014,12,5.4,aggregate
2015,1,6.1,aggregate
2015,2,5.8,aggregate
2015,3,5.6,aggregate
2015,4,5.1,aggregate
2015,5,5.3,aggregate
2015,6,5.5,aggregate
2015,7,5.6,aggregate
2015,8,5.2,aggregate
2015,9,4.9,aggregate
2015,10,4.8,aggregate
